time,location,timestamp
1364370566,in[sport-venues],2013-03-27 07:49:26
1364370581,in[sport-venues],2013-03-27 07:49:41
1364370601,in[sport-venues],2013-03-27 07:50:01
1364370617,in[sport-venues],2013-03-27 07:50:17
1364370632,in[sport-venues],2013-03-27 07:50:32
1364370648,in[sport-venues],2013-03-27 07:50:48
1364370664,in[sport-venues],2013-03-27 07:51:04
1364370679,in[sport-venues],2013-03-27 07:51:19
1364370695,in[sport-venues],2013-03-27 07:51:35
1364370710,in[sport-venues],2013-03-27 07:51:50
1364370726,in[sport-venues],2013-03-27 07:52:06
1364370741,in[sport-venues],2013-03-27 07:52:21
1364370757,in[sport-venues],2013-03-27 07:52:37
1364370772,in[sport-venues],2013-03-27 07:52:52
1364370788,in[sport-venues],2013-03-27 07:53:08
1364370803,in[sport-venues],2013-03-27 07:53:23
1364370819,in[sport-venues],2013-03-27 07:53:39
1364370834,in[sport-venues],2013-03-27 07:53:54
1364370850,in[sport-venues],2013-03-27 07:54:10
1364370865,in[sport-venues],2013-03-27 07:54:25
1364370881,in[sport-venues],2013-03-27 07:54:41
1364370901,in[sport-venues],2013-03-27 07:55:01
1364370917,in[sport-venues],2013-03-27 07:55:17
1364370932,in[sport-venues],2013-03-27 07:55:32
1364370948,in[sport-venues],2013-03-27 07:55:48
1364370964,in[sport-venues],2013-03-27 07:56:04
1364370979,in[sport-venues],2013-03-27 07:56:19
1364370995,in[sport-venues],2013-03-27 07:56:35
1364371010,in[sport-venues],2013-03-27 07:56:50
1364371026,in[sport-venues],2013-03-27 07:57:06
1364371041,in[sport-venues],2013-03-27 07:57:21
1364371056,in[sport-venues],2013-03-27 07:57:36
1364371072,in[sport-venues],2013-03-27 07:57:52
1364371087,in[sport-venues],2013-03-27 07:58:07
1364371103,in[sport-venues],2013-03-27 07:58:23
1364371118,in[sport-venues],2013-03-27 07:58:38
1364371134,in[sport-venues],2013-03-27 07:58:54
1364371149,in[sport-venues],2013-03-27 07:59:09
1364371165,in[sport-venues],2013-03-27 07:59:25
1364371180,in[sport-venues],2013-03-27 07:59:40
1364371201,in[sport-venues],2013-03-27 08:00:01
1364371217,in[sport-venues],2013-03-27 08:00:17
1364371232,in[sport-venues],2013-03-27 08:00:32
1364371248,in[sport-venues],2013-03-27 08:00:48
1364371263,in[sport-venues],2013-03-27 08:01:03
1364371279,in[sport-venues],2013-03-27 08:01:19
1364371294,in[sport-venues],2013-03-27 08:01:34
1364371309,in[sport-venues],2013-03-27 08:01:49
1364371325,in[sport-venues],2013-03-27 08:02:05
1364371340,in[sport-venues],2013-03-27 08:02:20
1364371356,in[sport-venues],2013-03-27 08:02:36
1364371371,in[sport-venues],2013-03-27 08:02:51
1364371387,in[sport-venues],2013-03-27 08:03:07
1364371402,in[sport-venues],2013-03-27 08:03:22
1364371418,in[sport-venues],2013-03-27 08:03:38
1364371433,in[sport-venues],2013-03-27 08:03:53
1364371449,in[sport-venues],2013-03-27 08:04:09
1364371464,in[sport-venues],2013-03-27 08:04:24
1364371480,in[sport-venues],2013-03-27 08:04:40
1364371501,in[sport-venues],2013-03-27 08:05:01
1364371517,in[sport-venues],2013-03-27 08:05:17
1364371532,in[sport-venues],2013-03-27 08:05:32
1364371548,in[sport-venues],2013-03-27 08:05:48
1364371563,in[sport-venues],2013-03-27 08:06:03
1364371579,in[sport-venues],2013-03-27 08:06:19
1364371594,in[sport-venues],2013-03-27 08:06:34
1364371610,in[sport-venues],2013-03-27 08:06:50
